"";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"texto"
"1";"de olho nas opções de PETR4 pra  maio porém com receio  tem boas notícias mas maio é sempre tenso no brasil ";FALSE;0;NA;2019-04-07 21:02:02;FALSE;NA;"1114996779928444933";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"betocampanas";0;FALSE;FALSE;NA;NA;"eye on the options PETR4 to may but with fear there is good news but may is always tense in brazil "
"2";"Renkos que utilizaremos em ";FALSE;1;NA;2019-04-07 21:01:58;TRUE;NA;"1114996763407077376";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"RenkoProp";0;FALSE;FALSE;NA;NA;"Renkos that we will use in "
"4";"Estudo gráfico do Ibovespa  Petr4  Vale3  Egie3  Eqtl3  Mrfg3  Abev3  Brml3  Vvar3  Jhsf3 e outros papéis   Finance  ";FALSE;0;NA;2019-04-07 19:52:01;TRUE;NA;"1114979159946801152";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"LeiaFinanceNews";0;FALSE;FALSE;NA;NA;"Study the chart for Ibovespa Petr4 Vale3 Egie3 Eqtl3 Mrfg3 Abev3 Brml3 Vvar3 Jhsf3 and the other roles Finance "
"6";"Compartilhando as últimas projeções para Ibovespa  VALE3 e PETR4  O cenário da linha principal é positivo  Uma ress  ";FALSE;1;NA;2019-04-07 14:43:55;TRUE;NA;"1114901622067486722";NA;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";"upsidepredictor";0;FALSE;FALSE;NA;NA;"Sharing the latest projections for the Ibovespa VALE3 and PETR4 THE scenario of the main line is positive A ress "
"7";"RT ";FALSE;0;NA;2019-04-07 12:08:01;FALSE;NA;"1114862389156024320";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"AnaliseEnergia";5;TRUE;FALSE;NA;NA;"RT "
"16";"PETR4  VALE3 e US BRL  Como Ficaram os Gráficos Para Segunda feira  ";FALSE;0;NA;2019-04-06 19:23:14;FALSE;NA;"1114609526785835008";NA;"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>";"EscaladeValores";0;FALSE;FALSE;NA;NA;"PETR4 VALE3 and US USD How Were the Graphics For Monday "
"17";"Engie tem acordo com bancos para financiar 70  da compra da TAG  diz CEO ";FALSE;24;NA;2019-04-06 19:05:29;FALSE;NA;"1114605061085257728";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"AnaliseEnergia";5;FALSE;FALSE;NA;NA;"One has agreement with banks to finance 70 of the purchase of the TAG says CEO "
"18";"PAULO GUEDES VAI ABRIR O  MERCADO DE GAS PARA OUTRAS EMPRESAS NO BRASIL E QUEBRAR O MONOPÓLIO DA PETROBRAS PETR4     ";FALSE;2;NA;2019-04-06 18:35:03;TRUE;NA;"1114597403686891520";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"investe10";0;FALSE;FALSE;NA;NA;"PAULO GUEDES WILL OPEN THE MARKET OF GAS FOR OTHER COMPANIES IN BRAZIL AND BREAK THE MONOPOLY OF PETROBRAS PETR4 "
"19";"Petrobras  PETR4  25  Banco do Brasil  BBAS3  25   O resto a gosto   Suzano  SUZB3  Braskem  BRKM5  Itaú Unibanco    ";FALSE;2;NA;2019-04-06 16:35:30;TRUE;NA;"1114567314530340865";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"heliofaret";0;FALSE;FALSE;NA;NA;"Petrobras PETR4 25 Banco do Brasil BBAS3 25 THE rest to taste Suzano SUZB3 Braskem BRKM5 Itaú Unibanco "
"32";"PetrÃ³leo Brasileiro S A    Petrobras $PETR4 Move Up 1 09  on Apr 5  ";FALSE;0;NA;2019-04-06 00:49:00;FALSE;NA;"1114329120886992898";NA;"<a href=""https://www.whatsonthorold.com"" rel=""nofollow"">whatsonthorold2</a>";"whatsonthorold2";0;FALSE;FALSE;NA;NA;"PetrÃ3leo Brasileiro S A Petrobras $PETR4 Move Up 1 09 on Apr 5 "
"36";"Importante teste de resistência para PETR4   gráfico de ";FALSE;0;NA;2019-04-05 23:50:50;FALSE;NA;"1114314482941976576";NA;"<a href=""https://www.tradingview.com"" rel=""nofollow"">TradingView</a>";"PCTEDESCO";0;FALSE;FALSE;NA;NA;"Important test of strength for PETR4 chart "
"37";"Zero      tu tá pessimista demais  não  não estou  já dei até engolfo de alta da PETR4 nos 20 40 perto do Natal  on  ";FALSE;13;NA;2019-04-05 23:49:32;TRUE;NA;"1114314158248538112";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"zeroe100";1;FALSE;FALSE;NA;NA;"Zero you're too pessimistic not I'm not I've given up engolfo high PETR4 in the 20 to 40 close to Christmas online "
"38";"PETR4  VALE3 e US BRL  Como Ficaram os Gráficos Para Segunda feira    ";FALSE;0;NA;2019-04-05 22:41:01;FALSE;NA;"1114296913875095552";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"botinhao";0;FALSE;FALSE;NA;NA;"PETR4 VALE3 and US USD How Were the Graphics For Monday "
"39";"Engie Brasil Energia diz que terá fatia de 29 25  na TAG após aquisição ";FALSE;12;NA;2019-04-05 22:25:11;FALSE;NA;"1114292929093357568";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"AnaliseEnergia";1;FALSE;FALSE;NA;NA;"Engineer Brazil Energy says that it will be slice-of-29 25 in the TAG after purchase "
